trade_date,security_code,security_name,financing_balance,financing_buy,financing_repayment,market,source_id,theme_id,theme_name
2025-07-18,000001,平安银行,1227680477.3241673,49124326.33831313,,SZSE,mock_margin_detail,finance,金融
2025-07-18,000858,五粮液,1375819726.1985157,55053692.92930162,,SZSE,mock_margin_detail,consumption,消费
2025-07-18,002371,北方华创,1929597501.010569,77168447.69454491,,SZSE,mock_margin_detail,semiconductor,半导体与芯片
2025-07-18,300750,宁德时代,1799565220.3918812,72038770.79339375,,SZSE,mock_margin_detail,new_energy,新能源
2025-07-18,300760,迈瑞医疗,1591594464.3019133,63641709.9045883,,SZSE,mock_margin_detail,healthcare,医药医疗
2025-07-18,600000,浦发银行,1024291857.631726,40967010.51604162,,SSE,mock_margin_detail,finance,金融
2025-07-18,600276,恒瑞医药,1490895365.4921095,59676465.44475899,,SSE,mock_margin_detail,healthcare,医药医疗
2025-07-18,600519,贵州茅台,1278817533.0974095,51135618.54249991,,SSE,mock_margin_detail,consumption,消费
2025-07-18,600893,航发动力,2111263423.333565,84488627.1996238,,SSE,mock_margin_detail,defense,军工
2025-07-18,601012,隆基绿能,1894763857.4783173,75826125.59927006,,SSE,mock_margin_detail,new_energy,新能源
2025-07-18,601398,工商银行,1125692711.075333,45046411.95662724,,SSE,mock_margin_detail,finance,金融
2025-07-18,688981,中芯国际,1822919717.138617,72890914.11584048,,SSE,mock_margin_detail,semiconductor,半导体与芯片
2025-07-21,000001,平安银行,1227631439.5498474,49109582.451608926,,SZSE,mock_margin_detail,finance,金融
2025-07-21,000858,五粮液,1374697161.9290009,55016216.20721114,,SZSE,mock_margin_detail,consumption,消费
2025-07-21,002371,北方华创,1931106775.883732,77253039.10154566,,SZSE,mock_margin_detail,semiconductor,半导体与芯片
2025-07-21,300750,宁德时代,1800351799.0795715,71992080.71131264,,SZSE,mock_margin_detail,new_energy,新能源
2025-07-21,300760,迈瑞医疗,1591048670.6973505,63624219.04165282,,SZSE,mock_margin_detail,healthcare,医药医疗
2025-07-21,600000,浦发银行,1023822227.7143114,40946118.76616323,,SSE,mock_margin_detail,finance,金融
2025-07-21,600276,恒瑞医药,1491124815.4970517,59653278.42598451,,SSE,mock_margin_detail,healthcare,医药医疗
2025-07-21,600519,贵州茅台,1276796507.2089949,51095156.43576373,,SSE,mock_margin_detail,consumption,消费
2025-07-21,600893,航发动力,2113451895.591076,84529520.61465213,,SSE,mock_margin_detail,defense,军工
2025-07-21,601012,隆基绿能,1893380442.572773,75785787.25248347,,SSE,mock_margin_detail,new_energy,新能源
2025-07-21,601398,工商银行,1125521359.1032004,45028106.66216789,,SSE,mock_margin_detail,finance,金融
2025-07-21,688981,中芯国际,1824387508.883417,72962380.2055497,,SSE,mock_margin_detail,semiconductor,半导体与芯片
2025-07-22,000001,平安银行,1228168793.040561,49108247.73733233,,SZSE,mock_margin_detail,finance,金融
2025-07-22,000858,五粮液,1375174619.611084,55007868.38721183,,SZSE,mock_margin_detail,consumption,消费
2025-07-22,002371,北方华创,1930169411.7191591,77287242.37731604,,SZSE,mock_margin_detail,semiconductor,半导体与芯片
2025-07-22,300750,宁德时代,1798793723.250713,71982100.03011528,,SZSE,mock_margin_detail,new_energy,新能源
2025-07-22,300760,迈瑞医疗,1589161158.2321472,63623274.00302133,,SZSE,mock_margin_detail,healthcare,医药医疗
2025-07-22,600000,浦发银行,1023204143.0065316,40942011.31896926,,SSE,mock_margin_detail,finance,金融
2025-07-22,600276,恒瑞医药,1490926063.8113885,59650091.30748238,,SSE,mock_margin_detail,healthcare,医药医疗
2025-07-22,600519,贵州茅台,1278016323.8424382,51085464.75861231,,SSE,mock_margin_detail,consumption,消费
2025-07-22,600893,航发动力,2113370397.1042545,84549654.25127122,,SSE,mock_margin_detail,defense,军工
2025-07-22,601012,隆基绿能,1894073547.1910813,75778201.00255705,,SSE,mock_margin_detail,new_energy,新能源
2025-07-22,601398,工商银行,1125560496.9332995,45025221.05773377,,SSE,mock_margin_detail,finance,金融
2025-07-22,688981,中芯国际,1823524745.745637,72991853.7374937,,SSE,mock_margin_detail,semiconductor,半导体与芯片
2025-07-23,000001,平安银行,1227581856.9342043,49108753.70362713,,SZSE,mock_margin_detail,finance,金融
2025-07-23,000858,五粮液,1375457600.918381,55001629.26404627,,SZSE,mock_margin_detail,consumption,消费
2025-07-23,002371,北方华创,1932549493.6947567,77324453.89976385,,SZSE,mock_margin_detail,semiconductor,半导体与芯片
2025-07-23,300750,宁德时代,1799287715.623573,71974894.53392856,,SZSE,mock_margin_detail,new_energy,新能源
