trade_date,fund_code,fund_name,theme_id,theme_name,total_shares,nav,price,amount,discount_rate,share_source_id,share_is_official,nav_is_proxy,source_id
2025-07-18,159992,创新药ETF,healthcare,医药医疗,2493516374.6878586,1.2539223009480265,1.2555566638505846,381148574.9063937,0.1303400458961823,mock_etf,False,False,mock_etf
2025-07-18,159995,芯片ETF,semiconductor,半导体与芯片,2301365064.9772305,1.184951264291247,1.1807753320038832,477959153.296765,-0.3524138429323087,mock_etf,False,False,mock_etf
2025-07-18,510300,沪深300ETF,broad_market,宽基指数,1508785448.767671,1.0738083368191471,1.0741601163121617,336679494.14126635,0.0327599889991869,mock_etf,False,False,mock_etf
2025-07-18,512000,券商ETF,finance,金融,2759898122.553295,1.2874335737625189,1.2904567702595544,630967146.2827458,0.2348234937046278,mock_etf,False,False,mock_etf
2025-07-18,512480,半导体ETF,semiconductor,半导体与芯片,2083073312.6547327,1.1491486597298706,1.1497243969420057,604827953.6444069,0.0501011951117069,mock_etf,False,False,mock_etf
2025-07-18,512660,军工ETF,defense,军工,2830643991.2447767,1.32047748967333,1.317323412320709,300900616.3628467,-0.2388588504754762,mock_etf,False,False,mock_etf
2025-07-18,515790,光伏ETF,new_energy,新能源,2179458852.29094,1.2198136551539336,1.2198289538955824,392845705.951032,0.0012541867837168,mock_etf,False,False,mock_etf
2025-07-18,588000,科创50ETF,broad_market,宽基指数,1707476878.824613,1.112186022479447,1.1123812188020563,339362605.05713844,0.0175506901420874,mock_etf,False,False,mock_etf
2025-07-21,159992,创新药ETF,healthcare,医药医疗,2496306220.4675984,1.2548517996398316,1.250880225552755,369181809.4976533,-0.3164974611517324,mock_etf,False,False,mock_etf
2025-07-21,159995,芯片ETF,semiconductor,半导体与芯片,2305652348.8543043,1.1841486597298705,1.185826145993049,425741600.7253957,0.1416617963796218,mock_etf,False,False,mock_etf
2025-07-21,510300,沪深300ETF,broad_market,宽基指数,1511582388.8500698,1.069385017913574,1.0695159215880656,137363444.9519603,0.0122410237939352,mock_etf,False,False,mock_etf
2025-07-21,512000,券商ETF,finance,金融,2760284180.349106,1.28905345871016,1.2901487303433912,782995592.9581945,0.0849671226457182,mock_etf,False,False,mock_etf
2025-07-21,512480,半导体ETF,semiconductor,半导体与芯片,2087929683.2922688,1.1472822678334098,1.147566175866234,856531263.6884098,0.0247461362198331,mock_etf,False,False,mock_etf
