trade_date,fund_code,fund_name,theme_id,theme_name,total_shares,nav,price,amount,discount_rate,share_source_id,share_is_official,nav_is_proxy,source_id
2026-07-20,159001,货币ETF易方达,bonds_cash,债券与现金管理,18252339.0,99.999,99.999,639892402.344,0.0,etf_spot,False,True,etf_spot
2026-07-20,159003,招商快线ETF,other,其他ETF,1799286.0,99.999,99.999,23501752.28,0.0,etf_spot,False,True,etf_spot
2026-07-20,159005,快钱ETF汇添富,other,其他ETF,1109338.0,100.001,100.001,10271916.198,0.0,etf_spot,False,True,etf_spot
2026-07-20,159007,养殖ETF华泰柏瑞,consumption,消费,196603274.0,0.8743,0.872,23351751.45,0.26,etf_spot,False,True,etf_spot
2026-07-20,159008,证券ETF景顺,finance,金融,120284531.0,1.0439,1.044,12775049.2,-0.01,etf_spot,False,True,etf_spot
2026-07-20,159009,创业板新能源ETF易方达,broad_market,宽基指数,61392703.0,0.8134,0.816,5216079.864,-0.32,etf_spot,False,True,etf_spot
2026-07-20,159010,港股通科技ETF博时,cross_border,跨境资产,210597611.0,0.9284,0.923,17430797.647,0.58,etf_spot,False,True,etf_spot
2026-07-20,159011,养殖ETF华安,consumption,消费,42505168.0,1.0568,1.054,14210989.969,0.26,etf_spot,False,True,etf_spot
2026-07-20,159012,科创创业50ETF鹏华,other,其他ETF,86881148.0,0.9339,0.939,12021327.414,-0.55,etf_spot,False,True,etf_spot
2026-07-20,159013,工业互联网ETF大成,other,其他ETF,49578881.0,0.9898,0.99,9652130.469,-0.02,etf_spot,False,True,etf_spot
2026-07-20,159015,恒生港股通科技ETF国联,cross_border,跨境资产,122352934.0,0.9188,0.917,22346618.557,0.2,etf_spot,False,True,etf_spot
2026-07-20,159016,证券ETF广发,finance,金融,356040160.0,1.0404,1.043,63239339.088,-0.25,etf_spot,False,True,etf_spot
2026-07-20,159017,石油ETF工银,resources,资源与周期,159256813.0,0.8546,0.858,6618051.1,-0.4,etf_spot,False,True,etf_spot
2026-07-20,159018,石油ETF广发,resources,资源与周期,30904203.0,0.8438,0.854,9916953.342,-1.21,etf_spot,False,True,etf_spot
2026-07-20,159019,石油ETF华宝,resources,资源与周期,50327711.0,0.8623,0.865,10656176.0,-0.31,etf_spot,False,True,etf_spot
2026-07-20,159020,养殖ETF易方达,consumption,消费,146567082.0,0.9037,0.904,15752342.534,-0.03,etf_spot,False,True,etf_spot
2026-07-20,159021,大盘价值ETF华夏,other,其他ETF,178907712.0,0.9911,0.991,13194053.77,0.01,etf_spot,False,True,etf_spot
2026-07-20,159022,科创创业人工智能ETF富国,ai_computing,人工智能与算力,162630967.0,1.0401,1.038,27417157.42,0.2,etf_spot,False,True,etf_spot
2026-07-20,159023,养殖ETF万家,consumption,消费,50777943.0,1.0621,1.063,10628995.02,-0.08,etf_spot,False,True,etf_spot
2026-07-20,159026,石油ETF南方,resources,资源与周期,50513446.0,0.8598,0.861,2512011.106,-0.14,etf_spot,False,True,etf_spot
2026-07-20,159027,畜牧养殖ETF大成,consumption,消费,130472283.0,0.9039,0.903,10291899.268,0.1,etf_spot,False,True,etf_spot
